date	original_text	url	author_hash	language	primary_theme	english_keywords	sentiment	main_emotion	secondary_themes
2024-12-01T01:11:04.000Z	Only in New York 	https://bsky.app/profile/jjlockwood.bsky.social/post/3lc7ghmg7yk23	2a062a66971c4d7f9456a16284c63ec9474b02bf	en	Environment	new, york	0.01	neutral	[10, 3, 7]
2024-12-01T01:11:19.000Z	Orgasm is that moment when the girl-cock finally seduces the boy-balls into letting her take all their cum and shoot it away! 	https://bsky.app/profile/softnsleepi.bsky.social/post/3lc7gi2rhck2k	d1669d83799f5fde397b017e4624045659eccd41	en	Entertainment	seduces, boy-balls, finally, orgasm, letting, shoot, cum, cock, girl-cock finally, finally seduces, girl-cock, moment	-0.48	neutral	[3, 14]
